,event,gid,layer,cell,x,y,r,phi,trackIndex,centerX,centerY,radius,momx,momy,momz,chargeParticle,flightLength,currentTrackPID,rawDriftTime,creatorProcessturnID,isScondary
80,39,4401,33,213,50.1804,-34.00665,60.61785865883502,-0.5955939280391583,8,-125.863,-374.627,385.874,1027.26,-531.958,-848.172,1,751.755,211,52.8389,Decay,0
36,39,4475,34,47,13.32536,60.7335,62.178157269089276,1.3548116379558226,9,86.4013,15.4967,87.2141,136.553,222.969,-83.5194,-1,676.546,-211,30.9846,Decay,0
95,39,4518,34,90,-49.0804,38.1737,62.17810736786702,2.4805487794603063,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,281.566,,-9999
96,39,4519,34,91,-50.0629,36.87585,62.17814945487281,2.506729091633437,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,221.519,,-9999
81,39,4640,34,212,51.01105,-35.5527,62.17814486933894,-0.6086832899191096,8,-122.841,-376.182,385.875,1029.81,-526.997,-848.161,1,778.725,211,247.439,Decay,0
37,39,4715,35,47,14.480245,62.1024,63.76821764029496,1.3417219198294676,9,86.4361,15.5582,87.209,140.875,220.246,-83.5528,-1,694.888,-211,75.9638,Decay,0
82,39,4881,35,213,52.78830000000001,-35.774,63.76820283566098,-0.5955940282605555,8,-119.97,-377.639,385.871,1031.96,-522.743,-848.173,1,799.076,211,28.233,Decay,0
38,39,4962,36,54,14.9501,64.9824,66.67996550516504,1.3446673140708418,9,86.1904,15.2161,87.2025,149.713,214.313,-83.6251,-1,727.257,-211,83.99,Decay,0
83,39,5141,36,233,57.0131,-34.5794,66.6800455606473,-0.5451974534217555,8,-114.52,-380.343,385.843,1036.22,-514.069,-848.281,1,834.008,211,34.1935,Decay,0
39,39,5218,37,54,16.1254,66.3537,68.28500588599228,1.3323960254205536,9,86.2523,15.2466,87.2405,154.039,211.365,-83.1383,-1,745.608,-211,151.755,Decay,0
48,39,5260,37,96,-48.6233,47.9439,68.28501189939122,2.363229889277941,-1,-48.7831,47.3561,0.00520438,-0.0155965,0.000427637,-0.000166778,-1,0.0564978,11,227.214,compt,1
84,39,5397,37,233,57.9464,-36.1255,68.28496923342647,-0.5574692297192172,8,-112.472,-381.358,385.844,1037.24,-512.016,-848.273,1,843.33,211,459.26,Decay,0
85,39,5398,37,234,58.8155,-34.6926,68.28498762546567,-0.5329263332549734,8,-111.587,-381.792,385.843,1038.35,-509.76,-848.277,1,854.112,211,347.349,Decay,0
41,39,5473,38,53,17.3428,67.7299,69.91503461952944,1.3201239545200594,9,86.2849,15.3101,87.2325,158.285,208.175,-83.1998,-1,764.439,-211,226.543,Decay,0
40,39,5474,38,54,15.6754,68.1351,69.91501996831582,1.344667624146208,9,86.5279,15.6227,87.2406,155.623,210.202,-83.1398,-1,750.385,-211,972.912,Decay,0
86,39,5653,38,233,59.7791,-36.257,69.91502589436693,-0.545197143713588,8,-109.453,-382.826,385.833,1039.4,-507.547,-848.315,1,864.446,211,48.3131,Decay,0
43,39,5729,39,53,18.6028,69.11,71.5699396942599,1.3078520341305686,9,86.3019,15.3519,87.2234,162.61,204.779,-83.2692,-1,783.99,-211,308.375,Decay,0
42,39,5730,39,54,16.9012,69.5458,71.57002765879024,1.3323953479063813,9,86.4245,15.4996,87.2287,160.498,206.459,-83.2277,-1,773.276,-211,317.901,Decay,0
129,39,5841,39,165,-43.6341,-56.7304,71.57005635718055,-2.2264402422441214,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1368.11,,-9999
87,39,5910,39,234,61.645,-36.3615,71.56999865341622,-0.5329252029965028,8,-105.62,-384.664,385.817,1042.65,-500.714,-848.373,1,895.891,211,210.08,Decay,0
44,39,5991,40,59,19.3181,70.6152,73.20994098242397,1.3037613819518339,9,86.24,15.2939,87.2157,166.591,201.524,-83.3281,-1,801.556,-211,117.722,Decay,0
100,39,6115,40,183,-47.3515,-55.8349,73.20997616623023,-2.274164653971915,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,174.576,,-9999
88,39,6195,40,263,63.2092,-36.9365,73.2100266144604,-0.5288350676259744,8,-102.697,-386.067,385.822,1044.71,-496.442,-848.293,1,914.887,211,268.254,Decay,0
45,39,6279,41,59,20.5126,71.8908,74.75997514312053,1.2928520121244496,9,86.2598,15.3226,87.2165,170.532,198.203,-83.3111,-1,819.841,-211,166.592,Decay,0
130,39,6403,41,183,-48.9731,-56.4862,74.75998471140828,-2.2850729489506434,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,182.301,,-9999
131,39,6404,41,184,-47.7292,-57.5411,74.7599807507332,-2.2632562769805507,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,282.523,,-9999
89,39,6483,41,263,64.1322,-38.4203,74.7600062127472,-0.5397425442495135,8,-100.657,-387.034,385.822,1045.72,-494.31,-848.291,1,924.791,211,68.8685,Decay,0
47,39,6566,42,58,21.747,73.1821,76.34495248154917,1.281944468073121,9,86.2749,15.349,87.214,174.504,194.705,-83.326,-1,838.457,-211,200.219,Decay,0
46,39,6567,42,59,20.1454,73.6391,76.34496833433099,1.3037606748090433,9,86.5252,15.6274,87.2182,171.976,196.959,-83.3004,-1,824.087,-211,605.34,Decay,0
90,39,6771,42,263,65.9159,-38.5182,76.344990693889,-0.5288354195696128,8,-96.9524,-388.764,385.815,1048.8,-487.703,-848.312,1,954.523,211,142.204,Decay,0
47,40,23,0,23,-7.304035,-2.0599499999999997,7.5889604876903265,-2.8667034126086386,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,374.005,,-9999
51,40,24,0,24,-6.891859999999999,-3.1771949999999998,7.588959238764232,-2.7096231824409096,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,357.622,,-9999
52,40,30,0,30,-1.480535,-7.44314,7.588960201887014,-1.7671461780570965,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,636.216,,-9999
0,40,31,0,31,-0.29794,-7.58311,7.588960766514741,-1.610066076521047,9,-250.404,1.07533,250.478,-25.9484,-750.467,-312.966,1,86.0851,211,119.244,Decay,0
86,40,72,1,32,-3.363125,-8.119295,8.788262687394477,-1.9634957127394548,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,370.06,,-9999
1,40,75,1,35,0.31367,-8.78266,8.788259528740603,-1.535096807988166,9,-250.473,-1.30797,250.471,-22.4308,-750.56,-313.014,1,99.392,211,49.5627,Decay,0
2,40,121,2,37,-0.327885,-10.01584,10.021205490300307,-1.603521284973702,9,-250.537,-3.73534,250.469,-18.8026,-750.651,-313.032,1,113.172,211,140.029,Decay,0
3,40,176,3,44,0.3170200000000001,-11.2991,11.303546456329535,-1.5427465836190415,9,-250.593,-6.25932,250.468,-15.1351,-750.731,-313.036,1,126.293,211,59.6095,Decay,0
4,40,233,4,45,-0.3045800000000001,-12.4072,12.410937950711059,-1.5953400464472913,9,-250.63,-8.46821,250.465,-11.8008,-750.781,-313.054,1,138.666,211,86.4683,Decay,0
5,40,303,5,51,-0.89003,-13.57925,13.608386530496551,-1.6362460954732179,9,-250.659,-10.8458,250.462,-8.3051,-750.82,-313.071,1,151.467,211,76.6768,Decay,0
6,40,381,6,57,-0.2901150000000001,-14.7734,14.776248315226196,-1.5904314626157208,9,-250.674,-13.132,250.457,-4.91144,-750.834,-313.105,1,163.817,211,103.862,Decay,0
7,40,461,7,57,-0.9365399999999999,-15.880749999999999,15.908341451392724,-1.6297013876548698,9,-250.676,-15.3972,250.45,-1.55434,-750.827,-313.151,1,176.691,211,65.8164,Decay,0
8,40,540,8,56,-0.408585,-19.6958,19.700037546721198,-1.591538129828058,9,-250.628,-22.8788,250.442,9.5501,-750.746,-313.185,1,219.705,211,65.1738,Decay,0
79,40,589,9,29,-15.9647,14.1003,21.30000249248812,2.4181274897845375,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,28.2634,,-9999
9,40,617,9,57,0.43864,-21.2955,21.300017025805403,-1.5502014601763259,9,-250.573,-26.1,250.439,14.3682,-750.659,-313.203,1,238.024,211,222.401,Decay,0
10,40,701,10,65,-0.346723,-22.9524,22.955018679990854,-1.5859013541534739,9,-250.495,-29.3315,250.433,19.1398,-750.535,-313.242,1,255.044,211,50.0634,Decay,0
11,40,790,11,66,0.505672,-24.5498,24.555007314427417,-1.5502014337835583,9,-250.394,-32.5362,250.424,23.8853,-750.372,-313.303,1,273.314,211,216.216,Decay,0
12,40,886,12,74,-0.283668,-26.2135,26.21503480417724,-1.581617351378379,9,-250.273,-35.7691,250.415,28.6751,-750.179,-313.36,1,290.503,211,65.8219,Decay,0
13,40,987,13,75,0.572909,-27.8141,27.81999970403093,-1.5502014487252898,9,-250.13,-39.0001,250.407,33.462,-749.956,-313.411,1,308.617,211,188.006,Decay,0
89,40,998,13,86,18.1708,-21.0659,27.819958940480124,-0.8590502076121075,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,760.446,,-9999
14,40,1095,14,83,-0.219661,-29.4642,29.465018795088543,-1.578251371580356,9,-249.968,-42.2136,250.399,38.2715,-749.701,-313.466,1,325.704,211,94.8869,Decay,0
87,40,1205,15,81,-4.57105,-30.7218,31.059998283040844,-1.718501206094543,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,35.2247,,-9999
15,40,1208,15,84,0.639632,-31.0534,31.059986810290567,-1.5502014301269704,9,-249.788,-45.4394,250.394,43.0512,-749.425,-313.498,1,343.771,211,141.148,Decay,0
58,40,1234,15,110,30.9298,-2.84127,31.06002806265474,-0.09160479868320773,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,276.976,,-9999
16,40,1332,16,96,0.802253,-32.6802,32.690045608961896,-1.5462526611075935,9,-249.586,-48.6537,250.387,47.7901,-749.117,-313.545,1,360.594,211,171.284,Decay,0
17,40,1460,17,96,-6.29e-15,-34.265,34.265,-1.5707963267948968,9,-249.371,-51.7428,250.378,52.48,-748.779,-313.6,1,378.344,211,120.772,Decay,0
18,40,1597,18,105,0.804966,-35.866,35.87503207331188,-1.548356386972234,9,-249.131,-54.9526,250.373,57.154,-748.421,-313.634,1,395.175,211,81.5882,Decay,0
19,40,1737,19,105,-6.88e-15,-37.455,37.455,-1.5707963267948968,9,-248.885,-58.0134,250.371,61.7901,-748.046,-313.642,1,412.727,211,257.847,Decay,0
90,40,1767,19,135,36.5159,-8.33452,37.45497532291805,-0.22439958232849797,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,437.94,,-9999
59,40,1768,19,136,36.8531,-6.68785,37.45501725046326,-0.17951953747135577,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,428.69,,-9999
60,40,1769,19,137,37.116,-5.02771,37.45497729066325,-0.1346398488877658,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,426.306,,-9999
20,40,1895,20,123,0.7794150000000002,-39.69025,39.6979021209525,-1.5511614080227867,9,-248.545,-61.8838,250.364,67.0778,-747.57,-313.691,1,426.491,211,441.263,Decay,0
21,40,1896,20,124,2.3370499999999996,-39.6291,39.69795170424414,-1.5118914726183674,9,-248.455,-62.8758,250.365,69.3097,-747.369,-313.679,1,436.546,211,377.999,Decay,0
